spdb3517	服务调查满意度100%。
spdb3518	（一）流程手续透明化。各营业网点将办理贷款条件、流程、执行利率、相关优惠政策及信贷员联系方式全部公开上墙，并在各行政村均设立公示牌，方便群众学习、掌握、办理。  （二）办理时限透明化。联社对贷款发放实行期限管理，符合贷款条件的，收回再贷3个工作日办结，新户贷款5个工作日内予以办结，对客户迫切的贷款特事特办，1个工作日内办结。同时，还推行每日八小时专人值班制，客户有贷款需求，可直接到贷款服务中心登记，且信贷员还主动上门服务。  （三）监督检查透明化。联社设置监督台、意见簿、开通投诉邮箱，公开投诉电话，方便社会监督
spdb3527	一是坚决打好防范化解金融风险攻坚战。坚持稳中求进工作总基调，有序推进降低企业杠杆率、拆解影子银行、严厉打击非法金融活动、遏制房地产泡沫化倾向、配合整顿地方政府隐性债务等工作，加强对各类风险的防范和化解。二是更好支持现代化经济体系建设。围绕供给侧结构性改革，加强与地方和企业的联系协调，推动结构调整和兼并重组，支持市场化法治化债转股。提升差异化服务能力，有力支持乡村振兴、区域协调和创新驱动等国家重大战略实施。进一步做实普惠金融，督促引导银行保险金融机构回归本源、专注主业，继续改进小微、“三农”金融服务。三是深化银行保险体系改革开放。引导银行保险金融机构健全公司治理，积极探索有中国特色的现代金融企业制度，全力推动银行保险业向高质量发展转变。进一步扩大对外开放，研究落实对外开放新举措，以开放促改革，激发市场活力，推动形成银行保险业全面开放新格局。。
spdb3528	会议审议了有关银行业防范化解金融风险攻坚战、强化银行不良资产认定和处置、提高大中型商业银行普惠金融事业部服务能力等重要文件。
spdb3529	为了落实改革过渡期融合工作要求
spdb3540	是三江之源、“中华水塔”，是国家生态安全的制高点和平衡点，具有无法替代的重要战略地位。在三江源头大力发展“水塔”金融，支持保护好中华民族的精魂血脉，是青海银行业发展的最大价值、最大潜力和最大责任之所在。发展“水塔”金融，关键是要坚持以生态文明理念统领银行业改革发展稳定，核心是通过大力倡导和推广绿色信贷，不断调整和优化信贷结构，有效促进绿色经济、低碳经济、循环经济发展和节能减排，努力防范环境与社会风险，实现国家绿色发展战略、青海生态立省战略与银行转型发展战略的有机统一，实现支持地方经济发展与防范金融风险的有机统一，实现优化经济结构和优化信贷结构的有机统一。
spdb3549	一是对接政府规划。围绕黄河三角洲农业高新区、济南产业金融中心建设等重大项目，加大对经济增长新动能行业和基础设施建设支持力度，新增政府主导类授信项目百余个，累计新增授信额度327亿元。二是对接行业转型升级。围绕钢铁去产能和减煤减排，向产能调整项目授信95亿元，支持关停企业生铁及粗钢生产。大力发展绿色金融，累计投放世行转贷业务融资1.66亿，支持高耗能工业企业节能减排。三是对接企业“去杠杆”。探索运用产业基金等模式，降低企业资产负债率。
spdb3559	四川银监局派出一名副局长参加省委蹲点督查小组赴凉山州布拖县开展蹲点调研，其间做了以下工作，对布拖县“五个一”扶贫机制落实、17个扶贫
spdb3567	对全市节能环保及战略性新兴产业、工业转型升级项目的信贷支持情况。
spdb3568	深圳银监局鼓励辖内银行加强对战略性新兴产业企业特点、资金运作模式的研究，在推广传统产品的同时，加大供应链融资、并购贷款等产品创新，通过提供个性化产品，既满足企业的差别化金融需求，又能有效分散信贷风险，帮助企业降低财务成本，提高资金使用效率。
spdb3569	深圳银监局利用各种场合积极引导银行履行社会责任，要求银行充分发挥在金融资源配置中的重要作用，抓住战略性新兴产业发展机遇，细化相关产业的信贷政策，加快调整信贷结构，明确将六大新兴产业作为优先支持对象，促进深圳产业结构的升级。
spdb3577	加强风险排查、摸清底数，多措并举严控不良增量、处置不良存量，有效遏制不良贷款“双升”态势。
spdb3578	农合机构要主动适应从严从紧的监管要求，主动贯彻落实监管部门工作部署，主动加强与监管部门的沟通汇报，严格执行重大事项报告制度，出台的重大经营决策、规章制度办法、高管任职等事项要提前与监管部门进行正式沟通，认真做好“一排二查三治理”等专项工作的自查和配合工作，真正实现回归本源、专注主业。
spdb3587	银行业金融机构应积极贯彻落实“一带一路”战略，为企业走出去和国际产能合作提供优质金融服务。在风险可控、商业可持续的前提下，结合自身服务企业走出去的战略定位，主动对接重点领域重大境外项目建设，支持基础设施互联互通、国际产能合作和经贸产业合作区建设。
spdb3588	银行业金融机构应围绕走出去企业的有效需求，加强有利于提高服务质量和效率、与自身风险管控能力相匹配的金融创新，拓展国际化融资模式，积极开展出口信贷、项目融资、银团贷款、贸易金融、投资银行、跨境人民币业务、金融市场、全球现金管理、资产管理、电子银行、金融租赁等相关金融服务。
spdb3589	银行业金融机构应建立健全涵盖境外机构与业务的公司治理原则和框架，明确相应授权和责任，建立科学合理的决策、执行、监督、激励、问责等治理运行机制，提高内部控制的有效性，确保境外机构和业务发展符合自身整体战略。
spdb3590	银行业金融机构应持续提升全面风险管理能力，加强与境外机构和业务有关的战略风险、信用风险、市场风险、合规风险、国别风险、环境与社会风险、流动性风险以及操作风险的管理。高度重视综合经营带来的跨境跨业风险，健全覆盖所有境外机构与业务的并表管理框架。
spdb3600	“三个完善”确保支持到位。三地银行业在高温时节除积极争取并贯彻落实各类惠农措施外，着力建立保障农业生产的长效机制。一是完善考核激励机制。嘉兴海盐联社等多家农村法人机构为保障高温时节农业生产，将农户贷款纳入绩效考核范围，奖惩力度远高于公司贷款和小微企业贷款。二是完善调查走访机制。为对农户种植、销售等进行有效的定性分析和定量测评，泰隆银行湖州分行运用“三品三表”调查模式，将数字化的“硬”信息和社会化的“软”信息有机结合，深入了解农户高温时节资金季节性需求。三是完善结对互动机制。如农行湖州分行20个网点与当地村委党建结对，7月份举办座谈会等活动50场，开展座谈会等各类互动活动，及时了解当地农业生产情况。
spdb3607	督促各村镇银行在落实法人主体责任的基础上，逐步建立完善的体系内风险救助机制，充分发挥体系性互助作用。在沪13家村镇银行均与发起行签订了流动性支持协议，并做好临时流动性便利额度和流动性救助安排。
spdb3608	梳理有关案件风险防控、操作风险管理制度及要求，发送村镇银行，作为案防和操作风险防控业务辅导资料。
spdb3617	一是帮助农民融入互联网经济。四地农信机构创新“丰收驿站”模式，为农村提供集小额存取款、缴费充值、线上线下代购代售、快递收发等金融服务，同时为每家“丰收驿站”配备站长，用“一根网线、一台电脑、一个屏幕”为村民提供接地气的服务。目前，四地农商行已建立丰收驿站760个，单点每月平均业务量达250笔。二是帮助民工工资按时足额支付。
spdb3627	一是有力支持基础设施和重点项目建设。
spdb3628	各项贷款比年初增加2115.65亿元，同比多增26.05亿元，同比增长13.51%，高于全国0.71个百分点。
spdb3629	同比增长15.54%，高于各项贷款增速2.03个百分点
spdb3630	贷款8211.74亿元，占各项贷款四分之一以上；在监测的397个重点关注行业中，福建省银行业支持产业转型升级贷款1458.74亿元，比年初增加434.8亿元，增幅高达42.46%
spdb3638	侴宇明希望渤海银行太原分行和中国移动山西公司在校园客户深度捆绑、龙城单车网点与渤海银行自助银亭联动、渤海银行白金卡客户与移动VIP客户资源共享等方面
spdb3639	两公司本着优势互补、资源共享、合作共
spdb3640	在数据传输、信息化建设、移动商务、电子商务、代收代缴等方面
spdb3650	电子渠道和收单业务为抓手，带动了双方在IC联名卡、电子商务、特惠折扣系统等多个方面合作
spdb3659	加强保险销售人员的执业管理，及时为保险销售人员办理和注销执业登记
spdb3670	为适应新形势下商业银行表外业务发展出现的新变化和新趋势，进一步引导商业银行表外业务规范发展，加强商业银行表外业务风险管理
spdb3678	为推动珠江西岸先进装备制造产业带加快建设
spdb3697	厦门工行积极运用互联网思维，精心策划各类专项营销体验活动，推进社会化营销，借力大数据分析客户行为特征开展精准营销，加快推进互联网金融的战略布局
spdb3698	要重点关注思维、产品、客户体验和营销四个维度，重视目标客户的定位分析、风险控制和可能带来的信贷模式变化
spdb3699	厦门工行顺应移动互联网发展趋势，完善网点互联网环境建设，以拳头产品为主打，抢占移动金融市场。
spdb3700	厦门工行大力发展融e购电商平台，积极拓展辖内大型优质客户，组织O2O体验社会化营销等，精心打造互联网金融品牌。
spdb3707	一要深刻理解“两学一做”学习教育两个特点。二要准确把握“基础在学”的主体内容，坚持问题导向，紧密联系实际，使学习讨论系统化、深入化。三要准确把握“关键在做”的根本要求，使学习教育贴地而行、接地气。四要坚持学做结合。贯彻落实“两学一做”精神，稳步推进二季度各项中心工作。
spdb3709	各银行业金融机构普遍成立了打击治理电信网络新型违法犯罪专项工作领导小组，明确分工，落实责任，协同配合，形成日常工作机制，确保该项工作常抓不懈。
spdb3710	全面落实银监会《关于银行业打击治理电信网络新型违法犯罪有关工作事项的通知》相关要求，限制同一客户开立借记卡原则上不超过4张，同一代理人代理开卡原则上不超过3张。二是筛查清理存量银行卡，加强客户身份信息核实，通过与公安联网核查反馈信息比对，筛查假名、借名银行卡，做好个人客户信息采集和补录工作，确保信息真实完整。2016年以来，防堵利用伪冒证件开户8起。
spdb3718	督导银行主动让利，降低融资成本，严禁附加不合理的贷款条件，并免收抵押登记费和公证费等。
spdb3719	引导银行针对不同小微企业经营风险情况，开展年审制微贷、无还本续贷、准抵押等弱担保贷款，提高小微金融服务的可得性和满足度。。
spdb3720	一是切实增强对突发事件的处置能力，做好各级网点的稳控工作，尤其是震中区域网点要做好从业人员思想维稳和工作协调；二是密切关注客户情绪，积极进行疏导，及时处置可能造成连锁影响的情况，必要时启动应急预案。
spdb3728	弥补监管短板 提升监管效能的通知》（以下简称《通知》）,进一步提升监管有效性，防范化解金融风险，促进银行业安全稳健运行。
spdb3729	强化监管制度建设、强化风险
spdb3738	是指债务人或第三方为担保商业银行相关债权实现，抵押或质押给商业银行，用于缓释信用风险的财产或权利。
